River_Width,Indust_Areas,River_Slantness,Area_Type,Bed_soil_Saltness,Flow_Diverters,Length_of_Staritness,No_of_Streams_Mixing,No_of_River_Deep_Bends,Clayey_Soil_Presence,Mo_of_ExtractingPoints,River_Curvature,Sanity_Level,PH_Level,Dissolved_Oxygen,Zinc_Level,Normalized_carbon,Flourides_Presence,Water_Quality
25.38,2,0.55,2,0.4265,2,164.81,39,2,223.8352,21,220.59,13.51,5.5,11.3,4.9,3,1,2
1921.89,1,1.37,1,0.1513,1,673.34,21,1,82.0145,12,49.78,8.94,7.6,12.7,3.3,2,1,1
665.19,2,0.67,2,0.2698,2,330.64,41,2,219.0719,20,174.96,28.29,6.3,10.6,4.4,3,1,2
2372.26,0,3.24,0,0.0001,0,1183.42,6,0,11.3374,7,15.87,4.55,6.7,14.5,0.1,1,0,0
2222.58,0,3.83,0,0.0321,0,1564.5,5,0,24.6157,1,12.15,1.35,7.5,14,0.2,0,0,0
1458.99,1,1.89,1,0.0593,1,979.72,34,1,179.948,14,129.33,6.36,7.9,13,3.8,2,1,1
2397.05,0,3.31,0,0.0157,0,1633.7,11,0,33.993,8,1.55,1.98,6.7,15.5,1,0,0,0
2903.78,0,3.33,0,0.0499,0,1262.8,4,0,36.8437,4,6.75,3.73,6.8,16,1,0,0,0
1722.3,1,1.46,1,0.1676,1,770.51,22,1,108.2088,11,78.61,7.23,8,13.9,3.6,2,1,1
1169.12,1,2.37,1,0.2317,1,669.55,23,1,175.0602,9,109.88,6.53,7.9,12.1,2.8,2,1,1
2142.61,0,3.24,0,0.0379,0,1293.98,15,0,1.7538,4,16.04,3.67,7.3,15.9,0.3,1,0,0
1979.46,1,1.82,1,0.1249,1,621.26,28,1,169.9035,14,21.79,5.49,8.9,13.6,3.5,2,1,1
1067.18,1,1.63,1,0.1476,1,601.12,21,1,82.2366,14,117.59,5.36,8.5,12.4,3,2,1,1
2111.34,0,2.82,0,0.0046,0,1724.92,3,0,56.8461,0,8.83,4.47,6.7,14.5,1.1,0,0,0
545.34,2,0.93,2,0.4214,2,162.88,39,2,238.6737,21,202.89,27.77,6.3,11.8,5.7,3,1,2
350.01,2,0.15,2,0.3587,2,174.89,50,2,268.175,20,219.28,22.64,6.4,12,4.4,3,1,2
2132.76,0,2.54,0,0.0327,0,1589.07,16,0,42.1593,4,6.39,4.49,7,15.3,1.4,0,0,0
1505.55,1,1.34,1,0.1763,1,685.68,34,1,77.7008,14,81.39,8.72,8.4,12.9,3.2,2,1,1
1117.4,1,1.29,1,0.2123,1,928.96,27,1,106.5696,15,101.17,6.55,8.7,13,2.6,2,1,1
920.37,2,0.81,2,0.4507,2,436.22,49,2,287.0416,18,239.45,27.58,5.6,10.3,5.8,3,1,2
1070.46,1,2.24,1,0.2145,1,521.66,21,1,80.3404,14,97.86,8.28,8.4,12.4,2.4,2,1,1
1278.36,1,1.52,1,0.0835,1,833.03,32,1,93.139,9,111.35,5.69,7.6,13.8,3.3,2,1,1
862.36,2,0.22,2,0.2806,2,178.34,40,2,245.7994,20,190.49,14.97,6.3,11.7,4.7,3,1,2
701.81,2,0.67,2,0.2939,2,166.67,47,2,244.6255,20,139.77,13.26,5.3,11.8,5.8,3,1,2
148.09,2,0.5,2,0.3416,2,425.65,47,2,292.0105,21,196.73,26.28,5.9,10.6,5.2,3,1,2
1404.27,1,2.26,1,0.162,1,868.7,22,1,98.6934,14,40.33,8.49,8.5,12.7,3.2,2,1,1
961.19,2,0.3,2,0.3652,2,205.66,44,2,268.8017,21,241.15,29.95,5.9,10.8,4.3,3,1,2
508.94,2,0.77,2,0.3786,2,261.27,45,2,254.91,17,146.66,9.67,5.4,11.9,4.6,3,1,2
1964.09,1,1.23,1,0.1387,1,822.57,33,1,183.5591,11,85.99,8.79,8,13.9,4,2,1,1
1361.33,1,2.38,1,0.2029,1,956.24,26,1,185.4417,11,57.36,6.32,8.1,13.8,2.2,2,1,1
2451.29,0,3.03,0,0.016,0,1779.27,4,0,8.9868,8,0.53,2.27,7.1,15.8,0.9,0,0,0
1667.93,1,1.05,1,0.1353,1,934.39,30,1,159.031,13,84.69,6.56,8.6,13.7,2.9,2,1,1
2491.16,0,3.83,0,0.0037,0,1405.51,7,0,37.3562,5,9.47,0.4,7.5,15.1,0.9,0,0,0
438.73,2,0.81,2,0.3245,2,301.09,38,2,277.8439,16,212.49,19.24,6.2,11.1,4.8,3,1,2
1700.89,1,1.05,1,0.0679,1,635.93,26,1,89.3555,10,34.05,7.81,8.7,13.8,2.6,2,1,1
43.42,2,0.19,2,0.2664,2,28.61,46,2,255.2877,18,204.08,15.63,5.3,11.3,5.4,3,1,2
431.22,2,0.48,2,0.3586,2,45.41,41,2,254.7672,18,239.55,24.36,5.1,10.7,5.4,3,1,2
2541.79,0,3.87,0,0.0452,0,1522.76,6,0,17.3062,3,4.95,4.06,7.4,15.1,0.2,1,0,0
242.91,2,0,2,0.2941,2,141.73,39,2,236.4151,21,181.24,11.62,6.2,12,5.4,3,1,2
543.65,2,0.93,2,0.299,2,92.71,49,2,205.7969,17,230.36,11.5,5.4,11.9,4.7,3,1,2
922.99,2,0.27,2,0.3238,2,353.83,42,2,270.4725,16,230.9,28.69,5.6,11.1,4.3,3,1,2
2069.37,0,3.78,0,0.0311,0,1654.51,6,0,41.8632,0,15.58,0.23,7.1,14.3,1.2,1,0,0
1432.79,1,1.7,1,0.1015,1,984.21,28,1,78.3925,11,56.44,8.42,8.2,13.4,3.3,2,1,1
1648.77,1,1.67,1,0.2284,1,898.66,25,1,196.225,14,113.99,5.37,7.9,13.2,2.4,2,1,1
2554.81,0,3.27,0,0.0409,0,1622.02,17,0,57.5127,4,14.92,2.28,7.4,14.1,1.3,0,0,0
2588.26,0,2.76,0,0.0079,0,1063.71,9,0,58.2287,4,4.68,4.34,7.1,14.7,0.8,0,0,0
937.04,2,0.88,2,0.3544,2,186.74,50,2,261.4499,19,161.93,20.4,5.8,10.5,5.5,3,1,2
2247.92,0,3.14,0,0.031,0,1592.55,6,0,56.0839,7,9.85,2.32,7.4,14.1,1.6,0,0,0
1808.57,1,2.06,1,0.1831,1,999.27,24,1,105.8805,13,72.54,7.44,7.9,12.8,3.4,2,1,1
322.66,2,0.92,2,0.3948,2,105.68,47,2,271.4708,18,238.67,15.3,5.8,11.3,5.1,3,1,2
2559.35,0,2.61,0,0.0132,0,1642,2,0,25.2603,6,8.5,0.34,6.7,14.8,0.2,1,0,0
1906.52,1,1.7,1,0.0509,1,672.25,24,1,163.1562,13,48.79,6.76,8.3,13.9,3,2,1,1
2563.53,0,3.71,0,0.0257,0,1012.97,19,0,28.2069,6,13.26,3.23,7.2,15.3,1,1,0,0
1703.62,1,1.97,1,0.1684,1,986.35,28,1,138.7782,15,106,5.63,8.3,13.3,3.3,2,1,1
1917.16,1,1.99,1,0.2474,1,907.31,24,1,189.3899,10,118.52,8.88,8.1,13.1,3.5,2,1,1
2409.86,0,2.9,0,0.0023,0,1853.29,3,0,64.3551,3,12.27,4.16,7,14.5,0.5,1,0,0
2095.33,0,3.52,0,0.0456,0,1379.1,19,0,41.7356,8,16.56,4.27,7.1,14.9,0.1,0,0,0
1696,1,1.65,1,0.0936,1,540.76,35,1,166.6241,9,51.41,8.65,7.6,13.2,2.4,2,1,1
1637.32,1,1.23,1,0.1416,1,846.45,22,1,85.1145,10,100.62,8.19,8.7,12.8,2.8,2,1,1
2728.83,0,2.54,0,0.0292,0,1952.57,4,0,61.8919,6,5.59,0.55,7,15.9,1.9,0,0,0
1278.25,1,2.01,1,0.132,1,852.16,26,1,195.1078,11,85.51,8.9,7.9,13.1,3.5,2,1,1
2761.1,0,3.02,0,0.0002,0,1020.81,6,0,4.208,6,16.42,4.38,6.9,15.9,0,1,0,0
1993.3,1,1.21,1,0.1657,1,555.1,34,1,166.0709,13,98.09,6.33,7.6,13.8,2.6,2,1,1
2786.03,0,3.72,0,0.0024,0,1771.93,15,0,21.8829,4,7.08,0.67,7.3,15.3,0.2,0,0,0
2488.51,0,2.65,0,0.0001,0,1542.43,9,0,47.3097,7,14.76,3.62,7,15.4,0.3,1,0,0
2576.28,0,3.91,0,0.0085,0,1923.86,6,0,63.265,2,9.55,2.01,6.7,14.4,2,1,0,0
612.24,2,0.88,2,0.399,2,61.47,48,2,229.5451,18,184.68,29.9,5.4,11.8,5,3,1,2
1060.16,1,2.27,1,0.1032,1,610.76,23,1,93.9949,15,61.58,8.15,7.7,13.1,2.8,2,1,1
2501.24,0,3.56,0,0.003,0,1014.48,3,0,36.6256,7,7.89,4.91,7.5,15.1,1.3,1,0,0
2959.91,0,3.78,0,0.0093,0,1278.75,4,0,5.1247,2,13.24,0.02,7.2,14.9,1.9,0,0,0
1067.09,1,1.18,1,0.0619,1,753.56,22,1,188.1682,11,41.32,7.1,7.6,12.2,2.4,2,1,1
725.08,2,0.96,2,0.3735,2,56.89,43,2,264.3996,19,248.1,14.56,6.1,11,4.9,3,1,2
1149.22,1,2.25,1,0.0906,1,733.46,28,1,92.424,13,60.91,7.04,8.1,12.9,3.8,2,1,1
2455.55,0,3.4,0,0.019,0,1758.94,18,0,19.5003,3,0.45,2.16,6.7,15.9,1.2,0,0,0
248.85,2,0.82,2,0.3751,2,290.8,50,2,213.604,17,179.35,10.29,5.3,11.5,4.2,3,1,2
1974.35,1,1.88,1,0.1202,1,752.02,34,1,115.5576,12,128.21,6.03,8.3,12.2,2.6,2,1,1
1471.81,1,1.36,1,0.1716,1,555.86,25,1,91.1818,10,81.11,5.15,8.1,12.3,2.2,2,1,1
652.74,2,0.74,2,0.4245,2,320.27,44,2,294.1777,21,228.62,29.82,5.4,10.1,4.4,3,1,2
548.28,2,0.67,2,0.345,2,82.46,46,2,206.548,18,169.54,21.42,5.7,10.9,6.1,3,1,2
2351.58,0,2.57,0,0.0147,0,1501.36,4,0,60.4431,4,7.87,0.41,6.8,14.3,1.5,1,0,0
1687.23,1,2.28,1,0.0573,1,942.96,35,1,114.7237,15,47.78,6.56,8.3,13,3.1,2,1,1
2527.79,0,3.33,0,0.041,0,1711.61,17,0,30.3024,7,16.39,4.34,6.5,15.9,0.3,0,0,0
1344.28,1,1.9,1,0.1037,1,541.32,33,1,176.0014,15,118.29,5.92,7.7,12.3,3.9,2,1,1
328.17,2,0.88,2,0.2577,2,327.37,44,2,260.2729,16,131.82,27.02,5.6,11.7,4.8,3,1,2
655.09,2,0.01,2,0.4447,2,264.04,47,2,292.9735,18,188.02,16.02,6.3,10.6,4.5,3,1,2
828.4,2,0.16,2,0.3674,2,70.97,39,2,244.4683,19,199.17,11.53,5.7,11.8,5.3,3,1,2
1347.85,1,2.12,1,0.0768,1,981.26,32,1,178.8126,9,114.91,8.17,8.6,12.6,3.6,2,1,1
1824.26,1,1.95,1,0.2401,1,732.46,23,1,104.886,15,103.58,8.41,8,13.2,3.8,2,1,1
1328.9,1,1.68,1,0.2287,1,669.1,31,1,121.1414,13,26.78,8.36,8.2,13.9,3.4,2,1,1
435.07,2,0.98,2,0.3601,2,336.71,36,2,288.8072,16,248.31,29.98,5.5,11.2,5.8,3,1,2
2615.04,0,3.09,0,0.0456,0,1252.29,6,0,20.3145,0,9.1,3.37,7.2,14.5,1.9,0,0,0
1537.53,1,1.13,1,0.2029,1,961.23,28,1,125.5013,11,67.37,5.37,9,12.5,3.1,2,1,1
1901.32,1,1.18,1,0.2486,1,609.78,34,1,98.1549,12,51.07,6.36,9,12.9,2.9,2,1,1
464.1,2,0.99,2,0.2757,2,380.68,39,2,221.7669,19,133.15,13.09,5.8,11.6,5.6,3,1,2
1519.78,1,1.17,1,0.0959,1,615.89,22,1,92.4375,13,104.44,5.43,8.3,12.9,2.4,2,1,1
2350.85,0,2.8,0,0.0279,0,1545.05,2,0,64.1415,6,19.76,4.93,6.8,14.8,0.7,0,0,0
1099.26,1,1.48,1,0.1369,1,984.99,29,1,87.6189,11,90.48,6.63,7.7,13.9,3.7,2,1,1
2842.99,0,3.88,0,0.023,0,1462.62,16,0,2.8048,8,10.35,3.33,7.1,14.3,0.4,1,0,0
2513.54,0,2.7,0,0.0327,0,1766.18,16,0,35.4896,7,2.38,1.8,6.6,14.9,2,1,0,0
303.49,2,0.94,2,0.3523,2,98.4,38,2,269.6899,20,151.23,10.73,5.1,11.4,4.5,3,1,2
2487.99,0,3.75,0,0.0419,0,1084.65,15,0,12.9845,3,5.03,0.66,6.5,14.1,0.7,1,0,0
538.38,2,0.46,2,0.3341,2,204.46,37,2,253.888,20,133.63,18.46,5.9,11.6,6,3,1,2
730.07,2,0.65,2,0.3489,2,161.28,36,2,286.5449,17,135.91,13.84,5.9,10.9,5.7,3,1,2
2233.82,0,2.61,0,0.0267,0,1126.63,6,0,2.2457,2,14.64,3.15,7.2,14.7,0.7,0,0,0
1127.59,1,2.04,1,0.066,1,618.67,22,1,76.105,11,90.95,7.9,8.1,13.5,3.7,2,1,1
293.46,2,0.32,2,0.3487,2,472.18,50,2,286.3028,16,186.59,13.37,6.3,10.8,5.9,3,1,2
1095.17,1,1.19,1,0.0989,1,586.08,31,1,146.8275,14,128.36,5.54,8.5,12.3,3.1,2,1,1
1299.56,1,1.35,1,0.083,1,933.19,35,1,188.8084,14,92.43,6.39,8.5,12.8,3.4,2,1,1
1481.81,1,1.02,1,0.0789,1,916.56,26,1,128.0098,11,31,5.61,8.5,12.1,3.9,2,1,1
2142.55,0,3.16,0,0.035,0,1411.58,17,0,37.0704,5,5.22,4.98,7.1,14.6,1.8,1,0,0
2947.69,0,2.98,0,0.0023,0,1362.03,4,0,48.1476,7,6.57,3.62,6.9,16,1.3,1,0,0
2587.94,0,3.89,0,0.0381,0,1199.57,6,0,67.6768,6,11.61,3.91,6.6,15.9,1.6,0,0,0
1449.66,1,1.2,1,0.2051,1,584.27,35,1,116.1267,12,25.26,8.76,8.9,12.3,2.3,2,1,1
657.16,2,0.25,2,0.4872,2,330.8,38,2,214.7552,17,143.03,21.07,6.1,11.5,4.8,3,1,2
1021.67,1,1.8,1,0.2445,1,690.63,30,1,86.4719,13,69.66,5.11,8.3,13.9,2.4,2,1,1
787.12,2,0.61,2,0.4815,2,206.58,38,2,281.5556,16,149.06,26.75,6.2,11.5,5.8,3,1,2
1460.21,1,2.33,1,0.1783,1,709.36,28,1,89.0237,9,64.9,8.99,8.5,12.4,2.4,2,1,1
1738.36,1,2.34,1,0.0607,1,817.5,23,1,165.0499,14,123.56,8.35,8.1,12.7,3.1,2,1,1
2213.98,0,3.59,0,0.0128,0,1197.37,18,0,52.6321,8,11.11,2.18,6.6,15.5,1.3,0,0,0
1337.85,1,2.37,1,0.2231,1,513.09,35,1,181.7478,11,126.62,7.98,8.8,12.4,3.6,2,1,1
225.72,2,0.34,2,0.4931,2,342.55,41,2,236.3067,17,163.51,10.78,6.1,11.8,4.7,3,1,2
1976.82,1,1.87,1,0.0788,1,981.98,22,1,176.7243,11,42.34,6.7,8.7,13.8,2.6,2,1,1
2240.91,0,2.93,0,0.0306,0,1243.77,8,0,68.0505,8,0.98,2.94,7,14.7,1.6,0,0,0
2490.46,0,3.82,0,0.0042,0,1206.32,4,0,26.6644,5,5.06,3.05,7.4,15.1,1.5,1,0,0
892.23,2,0.28,2,0.384,2,377.11,39,2,249.2727,16,164.48,10.63,5.1,10.1,4.6,3,1,2
2682.42,0,2.99,0,0.0008,0,1630.03,20,0,22.4219,6,5.55,2.57,6.8,15,1.1,1,0,0
1386.66,1,2.16,1,0.0802,1,662.25,32,1,167.1138,15,82.7,5.26,7.9,12.7,2.2,2,1,1
1935.14,1,1.82,1,0.0846,1,671.27,26,1,137.8092,12,128.65,5.26,7.8,13,2.6,2,1,1
2490.68,0,2.72,0,0.0206,0,1858.09,8,0,67.1785,8,17.3,2.15,7,15.9,1,1,0,0
1070.47,1,2,1,0.0567,1,703.62,34,1,184.9609,12,67.75,8.65,8.8,13.5,2.9,2,1,1
2720.8,0,3.07,0,0.0073,0,1755.39,3,0,53.7709,5,17.35,2.49,7.1,15.9,1.7,0,0,0
1872.86,1,1.07,1,0.1558,1,961.89,23,1,92.0974,15,48.9,5.97,8.7,12.6,2.9,2,1,1
1359.45,1,2.18,1,0.1825,1,568.82,24,1,126.89,15,58.43,5.4,8.5,13.4,2.9,2,1,1
1770.81,1,1.43,1,0.2016,1,772.82,30,1,96.3638,9,118.79,5.28,8,13.5,3.4,2,1,1
2785.74,0,3.8,0,0.0215,0,1466.03,12,0,72.1241,0,1.75,3.47,7.4,14.2,0.8,0,0,0
2188.67,0,2.9,0,0.025,0,1202.6,11,0,4.5452,6,3.46,2.52,7.4,15.8,1.4,1,0,0
167.72,2,0.13,2,0.4242,2,102.44,45,2,297.464,20,215.07,25.17,5.5,10.3,4.3,3,1,2
201.33,2,0.25,2,0.4153,2,258.06,42,2,220.1343,20,151.5,10.3,6.1,10.2,4.6,3,1,2
1248.65,1,2.28,1,0.0659,1,994.9,30,1,157.0534,14,85.92,8.72,8.1,12.7,3.1,2,1,1
1486.86,1,2.18,1,0.1629,1,526.7,21,1,169.4437,12,73.75,7.01,8.1,12.6,2.7,2,1,1
2491.77,0,3.35,0,0.0341,0,1522.88,13,0,26.8262,6,0.68,2.12,6.8,14.1,1.1,0,0,0
959.83,2,0.23,2,0.2885,2,362.25,38,2,204.6009,18,219.23,24.73,5.6,10.7,5.7,3,1,2
874.83,2,0.6,2,0.408,2,360.88,42,2,216.2965,21,184.24,15.97,5.6,10.4,5.7,3,1,2
1411.14,1,2.38,1,0.0516,1,803.01,35,1,133.3787,12,80.89,5.83,7.7,13.1,4,2,1,1
1144.26,1,2.34,1,0.1693,1,625.58,33,1,171.0147,9,38.51,5.92,8,13.2,2.9,2,1,1
1765.04,1,2.26,1,0.0998,1,969.94,21,1,186.2423,9,120.46,6.63,7.9,12.7,3.9,2,1,1
1684.57,1,1.2,1,0.1908,1,739.12,32,1,138.143,12,69.15,6.89,7.7,12.5,3.9,2,1,1
153.02,2,0.24,2,0.2555,2,122.95,38,2,275.1744,19,211.68,29,6.2,11.4,6,3,1,2
1171.96,1,2,1,0.192,1,509.34,26,1,129.3667,15,70.36,5.51,8.1,12.2,2.9,2,1,1
508.99,2,0.56,2,0.4612,2,246.39,50,2,224.0753,16,138.66,21.18,5.3,10.2,5.5,3,1,2
997.82,2,0.13,2,0.4387,2,364.04,39,2,256.8244,16,185.54,19.71,5.4,11.8,5.2,3,1,2
2156.79,0,3.73,0,0.047,0,1399.37,6,0,7.3657,0,6.3,1.28,7.5,15.7,1.3,1,0,0
1660.02,1,1.19,1,0.1731,1,852.44,32,1,149.5587,15,104.19,5.8,8,13.4,3.8,2,1,1
1136.66,1,2.29,1,0.1707,1,671.93,35,1,139.9494,12,92.27,6.77,8.2,12.3,3.1,2,1,1
166.17,2,0.21,2,0.3908,2,396.16,43,2,294.3498,21,179.05,26.53,5.4,11,4.6,3,1,2
2023.67,0,3.35,0,0.0305,0,1403.77,17,0,65.8593,5,2.63,1.74,6.9,15.8,1.1,1,0,0
648.84,2,0.44,2,0.4316,2,66.82,43,2,251.1391,18,242.91,17.78,5.2,12,5.1,3,1,2
2936.05,0,3.1,0,0.0106,0,1207.8,4,0,71.5256,1,6.75,2.87,6.6,14.4,0.3,0,0,0
1369.94,1,1.89,1,0.1526,1,797.08,33,1,195.2057,11,70.01,7.49,8.5,13,3.6,2,1,1
2986.01,0,2.7,0,0.0476,0,1524.93,4,0,13.6192,8,0.87,0.89,6.9,14.9,0.2,1,0,0
1224.74,1,2.15,1,0.158,1,644.08,34,1,149.678,13,125.76,7.62,8.5,13.9,3.7,2,1,1
2572.63,0,3.92,0,0.0192,0,1607.52,7,0,35.247,8,14.26,1.67,6.5,14.2,1.9,0,0,0
996.59,2,0.74,2,0.2559,2,448.63,47,2,214.4673,20,192.38,25.47,5.8,10.3,4.4,3,1,2
436.85,2,0.6,2,0.254,2,152.68,40,2,260.2409,18,219.74,24.88,5.7,11,4.5,3,1,2
2601.77,0,2.79,0,0.0147,0,1201.94,8,0,21.4964,5,15.23,0.78,6.8,16,0.8,1,0,0
1118.75,1,2.17,1,0.1193,1,809.94,24,1,82.2653,13,46.43,6.26,8.8,12.8,2.3,2,1,1
43.98,2,0.69,2,0.269,2,110.16,37,2,280.9578,18,228.97,17.14,5.3,10.9,5.6,3,1,2
2548.83,0,3.22,0,0.0422,0,1364.77,1,0,2.9514,5,15.56,2.41,7.3,14,1.3,1,0,0
262.09,2,0.51,2,0.4675,2,245.29,36,2,216.1521,19,146.24,13.94,5.4,11.8,4.1,3,1,2
1976.54,1,1.7,1,0.1351,1,689.31,31,1,114.5786,14,85.24,7.2,8.4,12.7,3.6,2,1,1
2858.13,0,3.05,0,0.0053,0,1805.15,0,0,49.2315,0,16.03,2.62,6.8,15,1.8,0,0,0
455.73,2,0.23,2,0.2617,2,443.67,45,2,259.7559,16,204.47,9.95,5.2,10.9,4.7,3,1,2
2744.55,0,3.95,0,0.0423,0,1861.07,2,0,56.6102,8,3.27,2.29,7.4,15.3,1.5,1,0,0
1307.9,1,1.54,1,0.2078,1,980.72,27,1,197.7778,10,93.47,5.12,7.9,13.5,2.2,2,1,1
1707.39,1,1.92,1,0.1259,1,823.73,26,1,121.3391,15,117.68,5.14,8.7,12.4,3.8,2,1,1
265.04,2,0.57,2,0.451,2,248.55,43,2,215.4096,17,201.53,12.85,6.2,10.9,5.1,3,1,2
1120.24,1,2.21,1,0.2321,1,977.75,34,1,180.3426,9,38.77,8.52,8.3,13.6,3.7,2,1,1
1886.57,1,2.19,1,0.2273,1,985.79,27,1,77.8193,13,24.43,5.59,7.8,13.6,3.2,2,1,1
1030.2,1,1.95,1,0.1117,1,955.56,25,1,93.0693,9,63.22,5.24,7.8,13.7,2.8,2,1,1
2415.08,0,3.03,0,0.0495,0,1111.88,8,0,34.1709,5,14.32,0.11,6.8,15.1,0.3,1,0,0
415.62,2,0.26,2,0.4837,2,279.29,38,2,228.2461,20,176.33,26.3,5.8,10.9,4.5,3,1,2
1274.99,1,2.11,1,0.087,1,782.01,25,1,168.9823,12,95.43,5.81,8.3,13,3.5,2,1,1
825.26,2,0.72,2,0.3187,2,160,42,2,217.9806,21,214.88,20.28,5.6,11.8,6,3,1,2
1589.17,1,1.55,1,0.1173,1,764.78,24,1,155.1954,12,51.23,8.57,8.8,13.5,3.2,2,1,1
1953.21,1,1.94,1,0.1724,1,548.47,32,1,80.2247,14,121.11,6.36,7.8,12.5,2.3,2,1,1
1893.37,1,1.49,1,0.0763,1,721.49,29,1,101.7132,11,128.68,5.83,8.5,13.4,2.1,2,1,1
1035.76,1,1.78,1,0.14,1,543.9,32,1,97.4768,12,127.22,7.04,8.7,13,2.5,2,1,1
390.65,2,0.83,2,0.4953,2,434.25,40,2,249.3399,17,202.54,29.64,5.8,11.5,5.2,3,1,2
2323.18,0,3.3,0,0.0496,0,1021.1,6,0,29.8596,6,18.57,0.73,6.8,14.5,1.3,1,0,0
1092.57,1,1.52,1,0.2024,1,592.4,32,1,95.2112,13,127.14,6.13,8.1,13.5,2.7,2,1,1
2049.34,0,2.7,0,0.0314,0,1535.89,13,0,40.0842,2,5.09,1.59,6.8,15.1,0.4,1,0,0
2620.41,0,3.46,0,0.0149,0,1173.34,18,0,29.6669,2,6.03,1.09,6.6,14.1,2,0,0,0
2947.79,0,3.86,0,0.0069,0,1198.62,14,0,48.4377,1,14.83,4.17,7,14.7,0.5,1,0,0
1643.11,1,1.64,1,0.0902,1,735.23,31,1,137.4017,11,80.92,6.53,8.9,13.2,2.3,2,1,1
805.42,2,0.7,2,0.4097,2,35.85,39,2,232.9282,20,246.34,18.98,5.5,11.6,6,3,1,2
2203.64,0,3.4,0,0.0175,0,1621.83,3,0,41.8075,3,12.43,3.07,7.2,15,1,1,0,0
1387.76,1,1.3,1,0.2258,1,686.51,21,1,123.7231,10,34.17,7.53,8,12.5,3.9,2,1,1
1743.84,1,1.44,1,0.2195,1,593.07,21,1,93.7605,9,109.94,5.59,8.2,13.7,3.9,2,1,1
918.77,2,0.52,2,0.2874,2,364.94,46,2,240.7901,20,144.1,21.41,5.4,11.3,4.4,3,1,2
579.99,2,0.47,2,0.3081,2,334.51,39,2,202.6772,19,222.21,13.47,5.4,11.3,6,3,1,2
2211.74,0,2.84,0,0.0306,0,1067.21,1,0,73.1788,0,13.61,3.22,7.1,14.1,0.1,1,0,0
1485.88,1,2.22,1,0.1894,1,562.23,23,1,89.2812,9,63.14,5.79,8.4,13,2.9,2,1,1
2203.6,0,3.89,0,0.0354,0,1085.88,1,0,15.1099,0,18.97,4.05,6.6,15.2,1.4,0,0,0
1091.5,1,2.13,1,0.111,1,992.24,30,1,105.6334,13,45.68,7.05,8.7,12.5,3.7,2,1,1
